iter	Passed	Remaining
400	19191	28667
401	19228	28604
402	19271	28548
403	19316	28496
404	19367	28452
405	19405	28391
406	19444	28330
407	19487	28275
408	19529	28220
409	19569	28160
410	19612	28105
411	19653	28049
412	19693	27990
413	19743	27945
414	19785	27889
415	19828	27836
416	19871	27781
417	19924	27741
418	19971	27693
419	20013	27638
420	20054	27580
421	20090	27517
422	20137	27468
423	20183	27419
424	20236	27378
425	20286	27334
426	20333	27285
427	20380	27237
428	20427	27189
429	20477	27144
430	20527	27099
431	20569	27045
432	20623	27005
433	20664	26949
434	20713	26903
435	20757	26851
436	20802	26800
437	20847	26750
438	20894	26701
439	20954	26668
440	21002	26622
441	21047	26571
442	21093	26521
443	21148	26483
444	21198	26438
445	21237	26380
446	21287	26334
447	21336	26289
448	21373	26229
449	21419	26179
450	21462	26126
451	21508	26076
452	21548	26019
453	21592	25968
454	21633	25912
455	21683	25867
456	21729	25819
457	21778	25772
458	21827	25727
459	21876	25680
460	21924	25634
461	21979	25594
462	22018	25538
463	22064	25488
464	22113	25441
465	22160	25393
466	22213	25353
467	22257	25300
468	22309	25258
469	22360	25215
470	22406	25165
471	22463	25129
472	22512	25082
473	22568	25044
474	22610	24990
475	22652	24936
476	22694	24883
477	22738	24831
478	22794	24793
479	22839	24742
480	22891	24699
481	22942	24656
482	23000	24619
483	23050	24575
484	23092	24520
485	23145	24478
486	23201	24440
487	23246	24390
488	23298	24347
489	23353	24306
490	23402	24260
491	23438	24200
492	23484	24151
493	23529	24100
494	23574	24050
495	23620	24001
496	23667	23953
497	23711	23901
498	23753	23848
499	23796	23796
500	23844	23749
501	23891	23700
502	23934	23648
503	23981	23600
504	24036	23560
505	24076	23505
506	24126	23460
507	24175	23413
508	24231	23374
509	24284	23331
510	24333	23286
511	24386	23243
512	24433	23195
513	24481	23148
514	24540	23110
515	24605	23079
516	24661	23040
517	24707	22990
518	24758	22945
519	24810	22902
520	24860	22856
521	24903	22804
522	24951	22756
523	24994	22704
524	25040	22655
525	25096	22615
526	25147	22570
527	25192	22520
528	25243	22475
529	25289	22426
530	25334	22376
531	25383	22329
532	25425	22277
533	25471	22228
534	25516	22178
535	25566	22132
536	25622	22091
537	25677	22050
538	25728	22005
539	25774	21956
540	25815	21902
541	25864	21856
542	25908	21805
543	25960	21761
544	26003	21709
545	26044	21656
546	26098	21613
547	26148	21568
548	26199	21522
549	26246	21474
550	26302	21433
551	26342	21379
552	26399	21338
553	26444	21289
554	26494	21242
555	26538	21192
556	26584	21143
557	26624	21089
558	26670	21040
559	26711	20987
560	26758	20939
561	26807	20892
562	26851	20841
563	26897	20792
564	26934	20736
565	26977	20685
566	27033	20644
567	27076	20593
568	27129	20550
569	27173	20499
570	27222	20452
571	27263	20399
572	27305	20347
573	27348	20296
574	27394	20247
575	27434	20195
576	27476	20143
577	27514	20088
578	27556	20036
579	27598	19985
580	27644	19936
581	27692	19888
582	27735	19837
583	27777	19786
584	27818	19734
585	27860	19682
586	27904	19633
587	27948	19583
588	27992	19532
589	28038	19484
590	28082	19434
591	28123	19382
592	28174	19337
593	28221	19289
594	28270	19243
595	28310	19190
596	28354	19140
597	28398	19090
598	28444	19042
599	28487	18991
600	28525	18937
601	28571	18889
602	28615	18839
603	28663	18792
604	28709	18744
605	28751	18693
606	28792	18641
607	28834	18590
608	28883	18544
609	28927	18494
610	28976	18447
611	29021	18398
612	29065	18349
613	29105	18297
614	29149	18248
615	29203	18204
616	29242	18152
617	29286	18102
618	29328	18052
619	29373	18002
620	29414	17951
621	29461	17904
622	29507	17856
623	29563	17813
624	29617	17770
625	29659	17719
626	29716	17678
627	29782	17642
628	29833	17596
629	29889	17553
630	29944	17510
631	29994	17464
632	30038	17415
633	30082	17366
634	30131	17319
635	30183	17274
636	30232	17228
637	30285	17184
638	30335	17137
639	30385	17091
640	30434	17045
641	30482	16998
642	30534	16952
643	30586	16907
644	30638	16862
645	30683	16814
646	30731	16767
647	30774	16716
648	30826	16671
649	30877	16626
650	30929	16581
651	30981	16535
652	31023	16485
653	31070	16437
654	31116	16389
655	31159	16339
656	31206	16291
657	31251	16243
658	31326	16209
659	31379	16165
660	31426	16117
