iter	Logloss
0	0.6350026254
1	0.5874102192
2	0.5489227829
3	0.5335802126
4	0.5054743941
5	0.4832614436
6	0.4740456711
7	0.4658179811
8	0.4513066899
9	0.4397377413
10	0.4364571348
11	0.4274218733
12	0.4244718152
13	0.4219573279
14	0.4194369309
15	0.4170169821
16	0.4147178345
17	0.4082816587
18	0.4059427096
19	0.4040528982
20	0.402160349
21	0.4002502939
22	0.3984426403
23	0.3971032452
24	0.3955408229
25	0.3937486662
26	0.3922244377
27	0.3909836726
28	0.3866498187
29	0.3851807617
30	0.3842432845
31	0.3828880801
32	0.3817064508
33	0.3809242047
34	0.3797801521
35	0.3790573416
36	0.3782295519
37	0.3749377734
38	0.3742302008
39	0.3734676878
40	0.3727784083
41	0.3719415445
42	0.3713697696
43	0.3707781982
44	0.3698157002
45	0.3692023843
46	0.3684010832
47	0.3678369603
48	0.3674062911
49	0.3668923416
50	0.3664628812
51	0.3656799774
52	0.3652657169
53	0.3645837591
54	0.3642145241
55	0.363825335
56	0.3635012627
57	0.3631968878
58	0.3628772141
59	0.3625334594
60	0.3622426997
61	0.3619306449
62	0.3614001622
63	0.3611237998
64	0.360925077
65	0.360642241
66	0.3602334788
67	0.3599887325
68	0.3597813394
69	0.3595520925
70	0.3593993273
71	0.3588078549
72	0.3586546783
73	0.3585035766
74	0.3583229997
75	0.3581125488
76	0.3579452822
77	0.3577613961
78	0.3576123007
79	0.3574721423
80	0.3573230977
81	0.3571886892
82	0.3570590881
83	0.3547124135
84	0.3542708822
85	0.354157799
86	0.3540048993
87	0.3538688907
88	0.3537860142
89	0.3536811113
90	0.3535278026
91	0.3534246877
92	0.3533455267
93	0.3529883728
94	0.3528589673
95	0.3525176659
96	0.3524631878
97	0.352353038
98	0.3522759189
99	0.3522225176
100	0.3521436183
101	0.3503760708
102	0.3499251656
103	0.3498636653
104	0.3497761286
105	0.3491583708
106	0.3490703667
107	0.3490077846
108	0.3489638461
109	0.3488916285
110	0.34884353
111	0.348780887
112	0.3487074529
113	0.3486256913
114	0.3485314778
115	0.3484813755
116	0.3484329495
117	0.3483880332
118	0.3483367576
119	0.3482797119
120	0.3482430545
121	0.3481772318
122	0.3480898728
123	0.3467537641
124	0.3462494246
125	0.3461855625
126	0.3461441636
127	0.3460789377
128	0.3460453381
129	0.3460045208
130	0.3459511551
131	0.3459131492
132	0.3458828969
133	0.3458300772
134	0.3457633554
135	0.34571994
136	0.3456585693
137	0.3456214371
138	0.3455987808
139	0.3455436475
140	0.3454900177
141	0.3454422671
142	0.3454045812
143	0.3453694121
144	0.3453125975
145	0.3452716685
146	0.3452306963
147	0.34521028
148	0.3451970636
149	0.3451262023
150	0.3450924884
151	0.3450527657
152	0.3450176473
153	0.3449647388
154	0.3449330947
155	0.3449124295
156	0.3448908983
157	0.3448516277
158	0.3448209589
159	0.3447906481
160	0.3447619983
161	0.3447114998
162	0.3446800386
163	0.3446559271
164	0.3446120064
165	0.3445900028
166	0.3445544706
167	0.3445284239
168	0.3445003607
169	0.344474761
170	0.3444469874
171	0.3444009714
172	0.3443607687
173	0.3443368096
174	0.3443078068
175	0.3442498595
176	0.3442190789
177	0.3441836076
178	0.3441567025
179	0.3441220794
180	0.3441037812
181	0.3440809929
182	0.3440604649
183	0.3440349313
184	0.3440251053
185	0.3439805649
186	0.3439611163
187	0.343916812
188	0.3439043474
189	0.3438975132
190	0.3438915501
191	0.3438795705
192	0.3438511467
193	0.343831947
194	0.3438023422
195	0.3437829952
196	0.3437561307
197	0.34373271
198	0.3436877379
199	0.3436703743
200	0.3436498132
201	0.3436376991
202	0.3436027255
203	0.3435832616
204	0.343566472
205	0.3435438945
206	0.3435179265
207	0.3434952043
208	0.3434735588
209	0.3434509965
210	0.3434282006
211	0.3434040282
212	0.3433853186
213	0.3433668959
214	0.3432975888
215	0.3432794379
216	0.3432605099
217	0.3432317686
218	0.3432169421
219	0.3431967138
220	0.3431824333
221	0.3431490369
222	0.3431421544
223	0.3430821882
224	0.3430763343
225	0.3430550063
226	0.3430459575
227	0.3430199997
228	0.3428824648
229	0.3428652307
230	0.3428305619
231	0.3428201519
232	0.3427948442
233	0.3427831136
234	0.3427477743
235	0.3427293974
236	0.342709357
237	0.3426881407
238	0.3417650328
239	0.3417421683
240	0.3417349532
241	0.3416938184
242	0.3416773335
243	0.3416556195
244	0.3416470126
245	0.3416237062
246	0.3415974691
247	0.3415864191
248	0.341568192
249	0.3415540258
250	0.3415318775
251	0.3415003502
252	0.341488485
253	0.3414664662
254	0.3414503013
255	0.3414258317
256	0.3414090802
257	0.3413917369
258	0.3413837294
259	0.3413532993
260	0.3413153086
261	0.3412817166
262	0.3412569677
263	0.3412358175
264	0.341213753
265	0.3411883437
266	0.3411750283
267	0.3411693573
268	0.3411521359
269	0.3411174493
270	0.3411022063
271	0.3410908998
272	0.3410571707
273	0.3410419302
274	0.3410234288
275	0.3410096436
276	0.3409693317
277	0.3409612099
278	0.3409424546
279	0.3409265132
280	0.3408960602
281	0.3408845581
282	0.3408690865
