iter	Passed	Remaining
0	61	61390
1	118	58947
2	176	58559
3	232	57905
4	288	57383
5	344	57073
6	398	56523
7	451	55991
8	507	55851
9	564	55859
10	620	55789
11	673	55443
12	716	54378
13	760	53588
14	808	53078
15	853	52482
16	899	52013
17	958	52285
18	1002	51782
19	1049	51434
20	1092	50944
21	1139	50646
22	1182	50233
23	1229	50015
24	1273	49664
25	1324	49626
26	1368	49300
27	1416	49180
28	1473	49322
29	1516	49021
30	1562	48852
31	1625	49181
32	1674	49064
33	1725	49038
34	1778	49034
35	1828	48949
36	1874	48800
37	1932	48923
38	1978	48745
39	2026	48631
40	2072	48466
41	2119	48347
42	2163	48159
43	2208	47991
44	2255	47860
45	2298	47658
46	2344	47533
47	2392	47442
48	2434	47240
49	2480	47125
50	2525	46988
51	2566	46784
52	2608	46600
53	2667	46727
54	2710	46571
55	2754	46429
56	2800	46325
57	2844	46205
58	2890	46099
59	2935	45987
60	2980	45886
61	3028	45811
62	3077	45765
63	3122	45664
64	3166	45542
65	3210	45431
66	3259	45391
67	3308	45344
68	3358	45318
69	3411	45326
70	3460	45285
71	3513	45285
72	3558	45187
73	3604	45107
74	3653	45059
75	3715	45175
76	3764	45122
77	3809	45035
78	3857	44967
79	3902	44875
80	3946	44777
81	3991	44682
82	4035	44581
83	4091	44619
84	4140	44566
85	4185	44481
86	4229	44382
87	4273	44285
88	4316	44187
89	4361	44101
90	4408	44032
91	4454	43960
92	4498	43869
93	4539	43751
94	4586	43696
95	4628	43580
96	4666	43444
97	4708	43333
98	4776	43470
99	4818	43364
100	4866	43319
101	4924	43356
102	4979	43364
103	5032	43358
104	5081	43315
105	5136	43324
106	5178	43221
107	5224	43150
108	5266	43049
109	5313	42994
110	5362	42947
111	5411	42905
112	5460	42859
113	5505	42785
114	5551	42725
115	5599	42668
116	5647	42621
117	5693	42556
118	5741	42506
119	5796	42509
120	5843	42453
121	5892	42404
122	5940	42357
123	5998	42373
124	6051	42363
125	6098	42299
126	6139	42204
127	6184	42128
128	6232	42079
129	6279	42022
130	6325	41959
131	6369	41884
132	6413	41811
133	6458	41742
134	6507	41699
135	6552	41626
136	6598	41565
137	6640	41476
138	6685	41409
139	6728	41333
140	6776	41282
141	6839	41326
142	6890	41292
143	6931	41206
144	6979	41152
145	7033	41142
146	7080	41087
147	7122	41004
148	7166	40929
149	7214	40884
150	7263	40838
151	7304	40753
152	7352	40702
153	7400	40655
154	7452	40627
155	7497	40560
156	7547	40526
157	7600	40504
158	7648	40457
159	7696	40408
160	7741	40342
161	7789	40292
162	7840	40260
163	7905	40300
164	7964	40305
165	8017	40278
166	8072	40266
167	8123	40229
168	8169	40171
169	8220	40135
170	8264	40066
171	8314	40023
172	8361	39969
173	8410	39923
174	8458	39873
175	8512	39854
176	8566	39829
177	8611	39768
178	8655	39698
179	8703	39649
180	8751	39601
181	8799	39548
182	8842	39475
183	8889	39425
184	8951	39436
185	9006	39413
186	9052	39357
187	9102	39315
188	9146	39246
189	9192	39190
190	9235	39115
191	9278	39046
192	9323	38985
193	9372	38937
194	9417	38877
195	9463	38819
196	9512	38775
197	9565	38743
198	9619	38721
199	9673	38695
200	9723	38653
201	9771	38601
202	9819	38550
203	9868	38508
204	9919	38466
205	9967	38416
206	10032	38433
207	10077	38371
208	10124	38319
209	10172	38268
210	10218	38210
211	10264	38152
212	10311	38099
213	10363	38064
214	10418	38040
215	10466	37988
216	10513	37935
217	10557	37869
218	10599	37800
219	10652	37766
220	10698	37711
221	10744	37654
222	10788	37590
223	10840	37554
224	10885	37492
225	10935	37452
226	10980	37391
227	11040	37381
228	11091	37343
229	11139	37292
230	11189	37250
231	11235	37194
232	11278	37126
233	11322	37064
234	11375	37029
235	11429	37000
236	11472	36934
237	11520	36885
238	11577	36863
239	11619	36794
240	11666	36740
241	11714	36691
242	11764	36647
243	11813	36601
244	11861	36552
245	11907	36497
246	11953	36442
247	11998	36382
248	12050	36346
249	12122	36368
250	12171	36319
251	12224	36286
252	12270	36230
253	12317	36176
254	12364	36123
255	12413	36075
256	12456	36011
257	12497	35941
258	12543	35885
259	12594	35844
260	12640	35789
261	12678	35712
262	12720	35647
263	12772	35608
264	12822	35564
265	12866	35503
266	12912	35448
267	12965	35412
268	13017	35375
269	13075	35353
270	13149	35373
271	13198	35326
272	13249	35282
273	13294	35226
274	13344	35180
275	13391	35129
276	13443	35087
277	13493	35044
278	13536	34982
279	13580	34921
280	13633	34883
281	13678	34826
282	13726	34776
283	13772	34723
284	13823	34681
285	13869	34626
286	13917	34576
287	13960	34512
288	14003	34450
289	14050	34399
290	14110	34378
291	14164	34343
292	14235	34349
293	14284	34302
294	14332	34252
295	14383	34209
296	14425	34145
297	14470	34087
298	14513	34026
299	14555	33962
300	14596	33897
301	14642	33843
302	14686	33784
303	14736	33737
304	14781	33682
305	14830	33634
306	14888	33607
307	14940	33566
308	14989	33520
309	15043	33483
310	15105	33466
311	15170	33452
312	15231	33431
313	15309	33446
314	15353	33388
315	15411	33358
316	15460	33310
317	15514	33273
318	15575	33250
319	15626	33205
320	15681	33170
321	15737	33136
322	15780	33076
323	15839	33047
324	15881	32984
325	15926	32927
326	15980	32889
327	16020	32822
328	16078	32792
329	16127	32744
330	16178	32699
331	16221	32638
332	16273	32596
333	16350	32602
334	16393	32542
335	16439	32488
336	16489	32441
337	16536	32388
338	16580	32329
339	16622	32266
340	16673	32221
341	16723	32175
342	16773	32129
343	16818	32071
344	16873	32034
345	16921	31984
346	16973	31941
347	17020	31888
348	17063	31829
349	17113	31781
350	17171	31749
351	17213	31688
352	17268	31650
353	17318	31603
354	17405	31624
355	17473	31609
356	17531	31575
357	17589	31542
358	17635	31489
359	17678	31428
360	17728	31380
361	17780	31337
362	17823	31277
363	17876	31234
364	17930	31194
365	17984	31153
366	18043	31121
367	18096	31079
368	18150	31037
369	18198	30985
370	18244	30931
371	18286	30871
372	18335	30821
373	18389	30779
374	18463	30772
375	18520	30736
376	18569	30685
